Date,Open,High,Low,Close,Adj Close,Volume
2018-08-29,0.125000,0.125000,0.125000,0.125000,0.125000,18400
2018-08-30,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-08-31,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-09-04,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-09-05,0.125000,0.125000,0.125000,0.125000,0.125000,13200
2018-09-06,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-09-07,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-09-10,0.125000,0.125000,0.125000,0.125000,0.125000,10760
2018-09-11,0.125000,0.125000,0.125000,0.125000,0.125000,3600
2018-09-12,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-09-13,0.125000,0.125000,0.125000,0.125000,0.125000,440
2018-09-14,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-09-17,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-09-18,0.125000,0.125000,0.125000,0.125000,0.125000,7200
2018-09-19,0.125000,0.125000,0.100000,0.100000,0.100000,16400
2018-09-20,0.100000,0.100000,0.100000,0.100000,0.100000,1320
2018-09-21,0.125000,0.125000,0.125000,0.125000,0.125000,1200
2018-09-24,0.125000,0.125000,0.125000,0.125000,0.125000,2920
2018-09-25,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-09-26,0.125000,0.125000,0.125000,0.125000,0.125000,8400
2018-09-27,0.125000,0.125000,0.125000,0.125000,0.125000,880
2018-09-28,0.125000,0.125000,0.125000,0.125000,0.125000,5600
2018-10-01,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-10-02,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-10-03,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-10-04,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-10-05,0.125000,0.125000,0.125000,0.125000,0.125000,0
2018-10-09,0.100000,0.100000,0.100000,0.100000,0.100000,1280
2018-10-10,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-10-11,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-10-12,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-10-15,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-10-16,0.100000,0.100000,0.100000,0.100000,0.100000,400
2018-10-17,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-10-18,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-10-19,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-10-22,0.125000,0.125000,0.125000,0.125000,0.125000,4800
2018-10-23,0.125000,0.125000,0.125000,0.125000,0.125000,3600
2018-10-24,0.100000,0.100000,0.100000,0.100000,0.100000,10000
2018-10-25,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-10-26,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-10-29,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-10-30,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-10-31,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-02,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-05,0.100000,0.100000,0.100000,0.100000,0.100000,400
2018-11-06,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-07,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-08,0.100000,0.100000,0.100000,0.100000,0.100000,16400
2018-11-09,0.100000,0.100000,0.100000,0.100000,0.100000,19240
2018-11-12,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-13,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-14,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-15,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-16,0.100000,0.100000,0.100000,0.100000,0.100000,76400
2018-11-19,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-20,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-21,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-22,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-23,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-26,0.100000,0.100000,0.075000,0.075000,0.075000,20400
2018-11-27,0.075000,0.075000,0.075000,0.075000,0.075000,0
2018-11-28,0.100000,0.100000,0.100000,0.100000,0.100000,880
2018-11-29,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-11-30,0.100000,0.100000,0.100000,0.100000,0.100000,320
2018-12-03,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-12-04,0.100000,0.100000,0.100000,0.100000,0.100000,4000
2018-12-05,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-12-06,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-12-07,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-12-10,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-12-11,0.100000,0.100000,0.100000,0.100000,0.100000,0
2018-12-12,0.075000,0.075000,0.075000,0.075000,0.075000,1200
2018-12-13,0.075000,0.075000,0.075000,0.075000,0.075000,800
2018-12-14,0.075000,0.075000,0.075000,0.075000,0.075000,0
2018-12-17,0.075000,0.075000,0.075000,0.075000,0.075000,0
2018-12-18,0.075000,0.075000,0.075000,0.075000,0.075000,0
2018-12-19,0.075000,0.075000,0.075000,0.075000,0.075000,0
2018-12-20,0.075000,0.075000,0.075000,0.075000,0.075000,0
2018-12-21,0.075000,0.075000,0.075000,0.075000,0.075000,0
2018-12-24,0.075000,0.075000,0.075000,0.075000,0.075000,2400
2018-12-27,0.075000,0.075000,0.075000,0.075000,0.075000,26880
2018-12-28,0.075000,0.075000,0.075000,0.075000,0.075000,0
2018-12-31,0.100000,0.100000,0.075000,0.075000,0.075000,33200
2019-01-02,0.075000,0.075000,0.075000,0.075000,0.075000,0
2019-01-03,0.075000,0.075000,0.075000,0.075000,0.075000,7320
2019-01-04,0.075000,0.075000,0.075000,0.075000,0.075000,1600
2019-01-07,0.075000,0.075000,0.075000,0.075000,0.075000,240
2019-01-08,0.075000,0.075000,0.075000,0.075000,0.075000,0
2019-01-09,0.075000,0.075000,0.075000,0.075000,0.075000,0
2019-01-10,0.100000,0.100000,0.100000,0.100000,0.100000,6160
2019-01-11,0.100000,0.100000,0.100000,0.100000,0.100000,7080
2019-01-14,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-15,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-16,0.100000,0.100000,0.100000,0.100000,0.100000,12000
2019-01-17,0.100000,0.100000,0.100000,0.100000,0.100000,1200
2019-01-18,0.100000,0.100000,0.100000,0.100000,0.100000,2800
2019-01-21,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-22,0.100000,0.100000,0.100000,0.100000,0.100000,1200
2019-01-23,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-24,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-25,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-28,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-29,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-30,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-01-31,0.075000,0.075000,0.075000,0.075000,0.075000,1200
2019-02-01,0.100000,0.100000,0.100000,0.100000,0.100000,400
2019-02-04,0.100000,0.100000,0.100000,0.100000,0.100000,20000
2019-02-05,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-02-06,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-02-07,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-02-08,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-02-11,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-02-12,0.100000,0.100000,0.100000,0.100000,0.100000,0
2019-02-13,0.125000,0.125000,0.125000,0.125000,0.125000,13600
2019-02-14,0.150000,0.150000,0.150000,0.150000,0.150000,13320
2019-02-15,0.150000,0.175000,0.150000,0.175000,0.175000,6480
2019-02-19,0.175000,0.175000,0.175000,0.175000,0.175000,4000
2019-02-20,0.175000,0.175000,0.175000,0.175000,0.175000,0
2019-02-21,0.175000,0.175000,0.175000,0.175000,0.175000,0
